sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:5286","HTR1A","5-hydroxytryptamine receptor 1A","ADRB2RL1,ADRBRL1","","5q12.3","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5287","HTR1B","5-hydroxytryptamine receptor 1B","","","6q14.1","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5289","HTR1D","5-hydroxytryptamine receptor 1D","HTRL","","1p36.12","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5291","HTR1E","5-hydroxytryptamine receptor 1E","","","6q14.3","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5292","HTR1F","5-hydroxytryptamine receptor 1F","","","3p12","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5293","HTR2A","5-hydroxytryptamine receptor 2A","HTR2","","13q14.2","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5294","HTR2B","5-hydroxytryptamine receptor 2B","","","2q37.1","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5295","HTR2C","5-hydroxytryptamine receptor 2C","HTR1C","","Xq23","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5299","HTR4","5-hydroxytryptamine receptor 4","","","5q32","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5300","HTR5A","5-hydroxytryptamine receptor 5A","","","7q36.2","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:16291","HTR5BP","5-hydroxytryptamine receptor 5B, pseudogene","GPR134,HTR5B","","2q14.1","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5301","HTR6","5-hydroxytryptamine receptor 6","","","1p36.13","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:5302","HTR7","5-hydroxytryptamine receptor 7","","","10q23.31","5-hydroxytryptamine receptors, G protein-coupled"
"HGNC:17830","GPR107","G protein-coupled receptor 107","","","9q34.11","7TM orphan receptors"
"HGNC:17829","GPR108","G protein-coupled receptor 108","","","19p13.3","7TM orphan receptors"
"HGNC:24300","GPR137","G protein-coupled receptor 137","","","11q13.1","7TM orphan receptors"
"HGNC:20145","GPR143","G protein-coupled receptor 143","OA1","","Xp22.2","7TM orphan receptors"
"HGNC:23687","GPR157","G protein-coupled receptor 157","","","1p36.22","7TM orphan receptors"
"HGNC:30413","TPRA1","transmembrane protein adipocyte associated 1","GPR175","","3q21.3","7TM orphan receptors"
"HGNC:262","ADORA1","adenosine A1 receptor","","","1q32.1","Adenosine receptors"
"HGNC:263","ADORA2A","adenosine A2a receptor","ADORA2","","22q11.23","Adenosine receptors"
"HGNC:264","ADORA2B","adenosine A2b receptor","","","17p12","Adenosine receptors"
