"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:12027","TRA","T cell receptor alpha locus","TCRA,TRA@","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12101","TRAV1-1","T cell receptor alpha variable 1-1","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12102","TRAV1-2","T cell receptor alpha variable 1-2","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12116","TRAV2","T cell receptor alpha variable 2","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12128","TRAV3","T cell receptor alpha variable 3","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12140","TRAV4","T cell receptor alpha variable 4","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12143","TRAV5","T cell receptor alpha variable 5","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12144","TRAV6","T cell receptor alpha variable 6","TCRAV5S1","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12145","TRAV7","T cell receptor alpha variable 7","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12146","TRAV8-1","T cell receptor alpha variable 8-1","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12147","TRAV8-2","T cell receptor alpha variable 8-2","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12148","TRAV8-3","T cell receptor alpha variable 8-3","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12149","TRAV8-4","T cell receptor alpha variable 8-4","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12150","TRAV8-5","T cell receptor alpha variable 8-5 (pseudogene)","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12151","TRAV8-6","T cell receptor alpha variable 8-6","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12152","TRAV8-7","T cell receptor alpha variable 8-7 (pseudogene)","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12153","TRAV9-1","T cell receptor alpha variable 9-1","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12154","TRAV9-2","T cell receptor alpha variable 9-2","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12103","TRAV10","T cell receptor alpha variable 10","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12104","TRAV11","T cell receptor alpha variable 11 (pseudogene)","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12105","TRAV12-1","T cell receptor alpha variable 12-1","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12106","TRAV12-2","T cell receptor alpha variable 12-2","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12107","TRAV12-3","T cell receptor alpha variable 12-3","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12108","TRAV13-1","T cell receptor alpha variable 13-1","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12109","TRAV13-2","T cell receptor alpha variable 13-2","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12110","TRAV14DV4","T cell receptor alpha variable 14/delta variable 4","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12111","TRAV15","T cell receptor alpha variable 15 (pseudogene)","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12112","TRAV16","T cell receptor alpha variable 16","","","14q11.2","T cell receptor alpha locus at 14q11.2"
"HGNC:12113","TRAV17","T cell receptor alpha variable 17","","","14q11.2","T cell receptor alpha locus at 14q11.2"
