sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:6447","KRT9","keratin 9","","","17q21.2","Keratins, type I"
"HGNC:6413","KRT10","keratin 10","KPP","","17q21.2","Keratins, type I"
"HGNC:6414","KRT12","keratin 12","","","17q21.2","Keratins, type I"
"HGNC:6415","KRT13","keratin 13","","","17q21.2","Keratins, type I"
"HGNC:6416","KRT14","keratin 14","EBS3,EBS4","","17q21.2","Keratins, type I"
"HGNC:6421","KRT15","keratin 15","","","17q21.2","Keratins, type I"
"HGNC:6423","KRT16","keratin 16","","","17q21.2","Keratins, type I"
"HGNC:6427","KRT17","keratin 17","PCHC1","","17q21.2","Keratins, type I"
"HGNC:6430","KRT18","keratin 18","","","12q13.13","Keratins, type I"
"HGNC:6436","KRT19","keratin 19","","","17q21.2","Keratins, type I"
"HGNC:20412","KRT20","keratin 20","","","17q21.2","Keratins, type I"
"HGNC:6438","KRT23","keratin 23","","","17q21.2","Keratins, type I"
"HGNC:18527","KRT24","keratin 24","","","17q21.2","Keratins, type I"
"HGNC:30839","KRT25","keratin 25","KRT25A","","17q21.2","Keratins, type I"
"HGNC:30840","KRT26","keratin 26","KRT25B","","17q21.2","Keratins, type I"
"HGNC:30841","KRT27","keratin 27","KRT25C","","17q21.2","Keratins, type I"
"HGNC:30842","KRT28","keratin 28","KRT25D","","17q21.2","Keratins, type I"
"HGNC:6448","KRT31","keratin 31","KRTHA1","","17q21.2","Keratins, type I"
"HGNC:6449","KRT32","keratin 32","KRTHA2","","17q21.2","Keratins, type I"
"HGNC:6450","KRT33A","keratin 33A","KRTHA3A","","17q21.2","Keratins, type I"
"HGNC:6451","KRT33B","keratin 33B","KRTHA3B","","17q21.2","Keratins, type I"
"HGNC:6452","KRT34","keratin 34","KRTHA4","","17q21.2","Keratins, type I"
"HGNC:6453","KRT35","keratin 35","KRTHA5","","17q21.2","Keratins, type I"
"HGNC:6454","KRT36","keratin 36","KRTHA6","","17q21.2","Keratins, type I"
"HGNC:6455","KRT37","keratin 37","KRTHA7","","17q21.2","Keratins, type I"
"HGNC:6456","KRT38","keratin 38","KRTHA8","","17q21.2","Keratins, type I"
"HGNC:32971","KRT39","keratin 39","","","17q21.2","Keratins, type I"
"HGNC:26707","KRT40","keratin 40","","","17q21.2","Keratins, type I"
"HGNC:6412","KRT1","keratin 1","EHK1","","12q13.13","Keratins, type II"
"HGNC:6439","KRT2","keratin 2","KRT2A","","12q13.13","Keratins, type II"
"HGNC:6440","KRT3","keratin 3","","","12q13.13","Keratins, type II"
"HGNC:6441","KRT4","keratin 4","CYK4","","12q13.13","Keratins, type II"
"HGNC:6442","KRT5","keratin 5","EBS2","","12q13.13","Keratins, type II"
"HGNC:6443","KRT6A","keratin 6A","KRT6C,KRT6D","","12q13.13","Keratins, type II"
"HGNC:6444","KRT6B","keratin 6B","KRTL1","","12q13.13","Keratins, type II"
"HGNC:20406","KRT6C","keratin 6C","KRT6E","","12q13.13","Keratins, type II"
"HGNC:6445","KRT7","keratin 7","","","12q13.13","Keratins, type II"
"HGNC:6446","KRT8","keratin 8","","","12q13.13","Keratins, type II"
"HGNC:28927","KRT71","keratin 71","","","12q13.13","Keratins, type II"
"HGNC:28932","KRT72","keratin 72","","","12q13.13","Keratins, type II"
"HGNC:28928","KRT73","keratin 73","","","12q13.13","Keratins, type II"
"HGNC:28929","KRT74","keratin 74","","","12q13.13","Keratins, type II"
"HGNC:24431","KRT75","keratin 75","","","12q13.13","Keratins, type II"
"HGNC:24430","KRT76","keratin 76","","","12q13.13","Keratins, type II"
"HGNC:20411","KRT77","keratin 77","KRT1B","","12q13.13","Keratins, type II"
"HGNC:28926","KRT78","keratin 78","","","12q13.13","Keratins, type II"
"HGNC:28930","KRT79","keratin 79","","","12q13.13","Keratins, type II"
"HGNC:27056","KRT80","keratin 80","","","12q13.13","Keratins, type II"
"HGNC:6458","KRT81","keratin 81","KRTHB1","","12q13.13","Keratins, type II"
"HGNC:6459","KRT82","keratin 82","KRTHB2","","12q13.13","Keratins, type II"
"HGNC:6460","KRT83","keratin 83","KRTHB3","","12q13.13","Keratins, type II"
"HGNC:6461","KRT84","keratin 84","KRTHB4","","12q13.13","Keratins, type II"
"HGNC:6462","KRT85","keratin 85","KRTHB5","","12q13.13","Keratins, type II"
"HGNC:6463","KRT86","keratin 86","KRTHB6","","12q13","Keratins, type II"
"HGNC:28695","KRT222","keratin 222","KRT222P","","17q21.2","Keratins, type II"
