sep=,
"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:3665","FGF1","fibroblast growth factor 1","FGFA","AFGF,ECGF,ECGFA,ECGFB,HBGF1,ECGF-beta,FGF-alpha,GLIO703","5q31.3"
"HGNC:3676","FGF2","fibroblast growth factor 2","FGFB","","4q28.1"
"HGNC:3681","FGF3","fibroblast growth factor 3","INT2","HBGF-3","11q13.3"
"HGNC:3682","FGF4","fibroblast growth factor 4","HSTF1","K-FGF,HBGF-4,HST,HST-1,KFGF","11q13.3"
"HGNC:3683","FGF5","fibroblast growth factor 5","","","4q21.21"
"HGNC:3684","FGF6","fibroblast growth factor 6","","","12p13.32"
"HGNC:3685","FGF7","fibroblast growth factor 7","","KGF","15q21.2"
"HGNC:3686","FGF8","fibroblast growth factor 8","","AIGF","10q24.32"
"HGNC:3687","FGF9","fibroblast growth factor 9","","","13q12.11"
"HGNC:3666","FGF10","fibroblast growth factor 10","","","5p12"
"HGNC:3667","FGF11","fibroblast growth factor 11","","FHF3,FLJ16061,MGC45269,MGC102953","17p13.1"
"HGNC:3668","FGF12","fibroblast growth factor 12","FGF12B","FHF1","3q28-q29"
"HGNC:3670","FGF13","fibroblast growth factor 13","LINC00889","FHF2,FGF2,FLJ30672","Xq26.3-q27.1"
"HGNC:3671","FGF14","fibroblast growth factor 14","","FHF4,SCA27","13q33.1"
"HGNC:3672","FGF16","fibroblast growth factor 16","MF4","","Xq21.1"
"HGNC:3673","FGF17","fibroblast growth factor 17","","FGF-13","8p21.3"
"HGNC:3674","FGF18","fibroblast growth factor 18","","FGF-18,ZFGF5","5q35.1"
"HGNC:3675","FGF19","fibroblast growth factor 19","","","11q13.3"
"HGNC:3677","FGF20","fibroblast growth factor 20","","","8p22"
"HGNC:3678","FGF21","fibroblast growth factor 21","","","19q13.33"
"HGNC:3679","FGF22","fibroblast growth factor 22","","","19p13.3"
"HGNC:3680","FGF23","fibroblast growth factor 23","","","12p13.32"
