Approved symbol	Approved name	Status	Alias symbols	Gene group name
A1BG	alpha-1-B glycoprotein	Approved		Immunoglobulin like domain containing
A1BG-AS1	A1BG antisense RNA 1	Approved	FLJ23569	Antisense RNAs
A1CF	APOBEC1 complementation factor	Approved	"ACF, ASP, ACF64, ACF65, APOBEC1CF"	RNA binding motif containing
A1S9T	"symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)"	Symbol Withdrawn		
A2M	alpha-2-macroglobulin	Approved	"FWP007, S863-7, CPAMD5"	"C3 and PZP like, alpha-2-macroglobulin domain containing"
A2M-AS1	A2M antisense RNA 1	Approved		Antisense RNAs
A2ML1	alpha-2-macroglobulin like 1	Approved	"FLJ25179, p170"	"C3 and PZP like, alpha-2-macroglobulin domain containing"
A2ML1-AS1	A2ML1 antisense RNA 1	Approved		Antisense RNAs
A2ML1-AS2	A2ML1 antisense RNA 2	Approved		Antisense RNAs
A2MP1	alpha-2-macroglobulin pseudogene 1	Approved		
A2MR	"symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)"	Symbol Withdrawn		
A2MRAP	"symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)"	Symbol Withdrawn		
A3GALT2	"alpha 1,3-galactosyltransferase 2"	Approved	"IGBS3S, IGB3S"	Glycosyltransferase family 6
A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"	Approved	"A14GALT, Gb3S, P(k)"	"Alpha 1,4-glycosyltransferases|Blood group antigens"
A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"	Approved	alpha4GnT	"Alpha 1,4-glycosyltransferases"
A12M1	adenovirus-12 chromosome modification site 1C	Entry Withdrawn		
A12M2	adenovirus-12 chromosome modification site 1A	Entry Withdrawn		
A12M3	adenovirus-12 chromosome modification site 1B	Entry Withdrawn		
A12M4	adenovirus-12 chromosome modification site 17	Entry Withdrawn		
