"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:6329","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1","","cl-42,nkat1,47.11,p58.1,CD158A","19q13.42"
"HGNC:6330","KIR2DL2","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2","","cl-43,nkat6,CD158B1,CD158k","19q13.4 alternate reference locus"
"HGNC:6331","KIR2DL3","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3","","cl-6,nkat2,nkat2a,nkat2b,p58,CD158B2","19q13.42"
"HGNC:6332","KIR2DL4","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4","","103AS,15.212,CD158D","19q13.42"
"HGNC:16345","KIR2DL5A","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A","","KIR2DL5.1,KIR2DL5,CD158F","19q13.4 alternate reference locus"
"HGNC:16346","KIR2DL5B","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B","","KIR2DL5.2,KIR2DL5,KIR2DL5.3,KIR2DL5.4","19q13.4 alternate reference locus"
"HGNC:16344","KIR2DP1","killer cell immunoglobulin like receptor, two Ig domains pseudogene 1","","KIRZ,KIRY,KIR15,KIR2DL6","19q13.42"
"HGNC:6333","KIR2DS1","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1","","EB6ActI,EB6ActII,CD158H","19q13.4 alternate reference locus"
"HGNC:6334","KIR2DS2","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2","","cl-49,nkat5,183ActI,CD158J","19q13.4 alternate reference locus"
"HGNC:6335","KIR2DS3","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3","","nkat7","19q13.4 alternate reference locus"
"HGNC:6336","KIR2DS4","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4","","cl-39,KKA3,nkat8,CD158I","19q13.42"
"HGNC:6337","KIR2DS5","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5","","nkat9,CD158G","19q13.4 alternate reference locus"
"HGNC:6338","KIR3DL1","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1","KIR","cl-2,NKB1,cl-11,nkat3,NKB1B,AMB11,CD158e1/2,CD158E1,CD158e2","19q13.42"
"HGNC:6339","KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2","","cl-5,nkat4,nkat4a,nkat4b,CD158K","19q13.42"
"HGNC:16312","KIR3DL3","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3","","KIRC1,KIR3DL7,KIR44,CD158Z","19q13.42"
"HGNC:16343","KIR3DP1","killer cell immunoglobulin like receptor, three Ig domains pseudogene 1","","KIRX,KIR48,KIR2DS6,KIR3DS2P,CD158C","19q13.42"
"HGNC:6340","KIR3DS1","killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1","","nkat10","19q13.4 alternate reference locus"
"HGNC:25043","KIR3DX1","killer cell immunoglobulin like receptor, three Ig domains X1 (pseudogene)","LENG12","FLJ00060","19q13.42"
